Date,Open,High,Low,Close,Adj Close,Volume
12/3/07,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000
12/4/07,1471.339966,1471.339966,1460.660034,1462.790039,1462.790039,3343620000
12/5/07,1465.219971,1486.089966,1465.219971,1485.01001,1485.01001,3663660000
12/6/07,1484.589966,1508.02002,1482.189941,1507.339966,1507.339966,3568570000
12/7/07,1508.599976,1510.630005,1502.660034,1504.660034,1504.660034,3177710000
12/10/07,1505.109985,1518.27002,1504.959961,1515.959961,1515.959961,2911760000
12/11/07,1516.680054,1523.569946,1475.98999,1477.650024,1477.650024,4080180000
12/12/07,1487.579956,1511.959961,1468.22998,1486.589966,1486.589966,4482120000
12/13/07,1483.27002,1489.400024,1469.209961,1488.410034,1488.410034,3635170000
12/14/07,1486.189941,1486.670044,1467.780029,1467.949951,1467.949951,3401050000
12/17/07,1465.050049,1465.050049,1445.430054,1445.900024,1445.900024,3569030000
12/18/07,1445.920044,1460.160034,1435.650024,1454.97998,1454.97998,3723690000
12/19/07,1454.699951,1464.420044,1445.310059,1453,1453,3401300000
12/20/07,1456.420044,1461.530029,1447.219971,1460.119995,1460.119995,3526890000
12/21/07,1463.189941,1485.400024,1463.189941,1484.459961,1484.459961,4508590000
12/24/07,1484.550049,1497.630005,1484.550049,1496.449951,1496.449951,1267420000
12/26/07,1495.119995,1498.849976,1488.199951,1497.660034,1497.660034,2010500000
12/27/07,1495.050049,1495.050049,1475.859985,1476.27002,1476.27002,2365770000
12/28/07,1479.829956,1488.01001,1471.699951,1478.48999,1478.48999,2420510000
12/31/07,1475.25,1475.829956,1465.130005,1468.359985,1468.359985,2440880000
1/2/08,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000
1/3/08,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,3429500000
1/4/08,1444.01001,1444.01001,1411.189941,1411.630005,1411.630005,4166000000
1/7/08,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,4221260000
1/8/08,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,4705390000
1/9/08,1390.25,1409.189941,1378.699951,1409.130005,1409.130005,5351030000
1/10/08,1406.780029,1429.089966,1395.310059,1420.329956,1420.329956,5170490000
1/11/08,1419.910034,1419.910034,1394.829956,1401.02002,1401.02002,4495840000
1/14/08,1402.910034,1417.890015,1402.910034,1416.25,1416.25,3682090000
1/15/08,1411.880005,1411.880005,1380.599976,1380.949951,1380.949951,4601640000
1/16/08,1377.410034,1391.98999,1364.27002,1373.199951,1373.199951,5440620000
1/17/08,1374.790039,1377.719971,1330.670044,1333.25,1333.25,5303130000
1/18/08,1333.900024,1350.280029,1312.51001,1325.189941,1325.189941,6004840000
1/22/08,1312.939941,1322.089966,1274.290039,1310.5,1310.5,6544690000
1/23/08,1310.410034,1339.089966,1270.050049,1338.599976,1338.599976,3241680000
1/24/08,1340.130005,1355.150024,1334.310059,1352.069946,1352.069946,5735300000
